p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.25400452810781e-69,0.443610617512862,0.944,0.929,2.34160265533571e-65,0,RPLP0
1.95683662774213e-69,0.562202695454782,0.855,0.847,3.65400103498288e-65,0,TMA7
1.63483965588173e-66,0.542041784747025,0.853,0.837,3.05273608942796e-62,0,COX4I1
9.09975202177997e-65,0.402508249278,0.994,0.994,1.69919669502697e-60,0,MT-CO2
1.07358211873778e-64,0.878846325580351,0.544,0.397,2.00469989031906e-60,0,TMEM123
2.99834401736298e-64,0.39814127381265,0.948,0.916,5.59880778362189e-60,0,RPL7A
1.00452308118882e-63,0.754385530559646,0.549,0.383,1.87574594950387e-59,0,HCST
3.86629011819047e-61,0.452248563391727,0.913,0.904,7.21952353769707e-57,0,NACA
2.30968352281923e-57,0.879545660807868,0.529,0.398,4.31287204216035e-53,0,CD69
4.7376984025437e-57,0.841546889365859,0.43,0.268,8.84670422706986e-53,0,CLEC2D
3.03175435865145e-55,0.82021096024575,0.302,0.149,5.66119491390985e-51,0,TNFAIP3
3.14473376303056e-55,0.668639263715983,0.703,0.667,5.87216135570696e-51,0,CIRBP
1.06827375037773e-54,0.960001227077833,0.32,0.174,1.99478757408034e-50,0,PRMT2
2.97936713622309e-50,0.820056085137009,0.49,0.368,5.56337225346938e-46,0,AES
